#TYPE Microsoft.PowerShell.Commands.PSGetDscResourceInfo
"Name","Version","ModuleName","Repository","PSGetModuleInfo"
"xIisFeatureDelegation","1.10.0.0","xWebAdministration","PSGallery","@{Name=xWebAdministration; Version=1.10.0.0; Type=Module; Description=Module with DSC Resources for Web Administration; Author=Microsoft Corporation; CompanyName=PowerShellTeam; Copyright=(c) 2013 Microsoft Corporation. All rights reserved.; PublishedDate=3/31/2016 1:18:30 AM; LicenseUri=https://github.com/PowerShell/xWebAdministration/blob/master/LICENSE; ProjectUri=https://github.com/PowerShell/xWebAdministration; IconUri=; Tags=System.Object[]; Includes=System.Collections.Hashtable; PowerShellGetFormatVersion=; ReleaseNotes=; Dependencies=System.Object[]; RepositorySourceLocation=https://www.powershellgallery.com/api/v2/; Repository=PSGallery; PackageManagementProvider=NuGet; AdditionalMetadata=System.Collections.Hashtable}"
"xIisHandler","1.10.0.0","xWebAdministration","PSGallery","@{Name=xWebAdministration; Version=1.10.0.0; Type=Module; Description=Module with DSC Resources for Web Administration; Author=Microsoft Corporation; CompanyName=PowerShellTeam; Copyright=(c) 2013 Microsoft Corporation. All rights reserved.; PublishedDate=3/31/2016 1:18:30 AM; LicenseUri=https://github.com/PowerShell/xWebAdministration/blob/master/LICENSE; ProjectUri=https://github.com/PowerShell/xWebAdministration; IconUri=; Tags=System.Object[]; Includes=System.Collections.Hashtable; PowerShellGetFormatVersion=; ReleaseNotes=; Dependencies=System.Object[]; RepositorySourceLocation=https://www.powershellgallery.com/api/v2/; Repository=PSGallery; PackageManagementProvider=NuGet; AdditionalMetadata=System.Collections.Hashtable}"
"xIisMimeTypeMapping","1.10.0.0","xWebAdministration","PSGallery","@{Name=xWebAdministration; Version=1.10.0.0; Type=Module; Description=Module with DSC Resources for Web Administration; Author=Microsoft Corporation; CompanyName=PowerShellTeam; Copyright=(c) 2013 Microsoft Corporation. All rights reserved.; PublishedDate=3/31/2016 1:18:30 AM; LicenseUri=https://github.com/PowerShell/xWebAdministration/blob/master/LICENSE; ProjectUri=https://github.com/PowerShell/xWebAdministration; IconUri=; Tags=System.Object[]; Includes=System.Collections.Hashtable; PowerShellGetFormatVersion=; ReleaseNotes=; Dependencies=System.Object[]; RepositorySourceLocation=https://www.powershellgallery.com/api/v2/; Repository=PSGallery; PackageManagementProvider=NuGet; AdditionalMetadata=System.Collections.Hashtable}"
"xIisModule","1.10.0.0","xWebAdministration","PSGallery","@{Name=xWebAdministration; Version=1.10.0.0; Type=Module; Description=Module with DSC Resources for Web Administration; Author=Microsoft Corporation; CompanyName=PowerShellTeam; Copyright=(c) 2013 Microsoft Corporation. All rights reserved.; PublishedDate=3/31/2016 1:18:30 AM; LicenseUri=https://github.com/PowerShell/xWebAdministration/blob/master/LICENSE; ProjectUri=https://github.com/PowerShell/xWebAdministration; IconUri=; Tags=System.Object[]; Includes=System.Collections.Hashtable; PowerShellGetFormatVersion=; ReleaseNotes=; Dependencies=System.Object[]; RepositorySourceLocation=https://www.powershellgallery.com/api/v2/; Repository=PSGallery; PackageManagementProvider=NuGet; AdditionalMetadata=System.Collections.Hashtable}"
"xSSLSettings","1.10.0.0","xWebAdministration","PSGallery","@{Name=xWebAdministration; Version=1.10.0.0; Type=Module; Description=Module with DSC Resources for Web Administration; Author=Microsoft Corporation; CompanyName=PowerShellTeam; Copyright=(c) 2013 Microsoft Corporation. All rights reserved.; PublishedDate=3/31/2016 1:18:30 AM; LicenseUri=https://github.com/PowerShell/xWebAdministration/blob/master/LICENSE; ProjectUri=https://github.com/PowerShell/xWebAdministration; IconUri=; Tags=System.Object[]; Includes=System.Collections.Hashtable; PowerShellGetFormatVersion=; ReleaseNotes=; Dependencies=System.Object[]; RepositorySourceLocation=https://www.powershellgallery.com/api/v2/; Repository=PSGallery; PackageManagementProvider=NuGet; AdditionalMetadata=System.Collections.Hashtable}"
"xWebApplication","1.10.0.0","xWebAdministration","PSGallery","@{Name=xWebAdministration; Version=1.10.0.0; Type=Module; Description=Module with DSC Resources for Web Administration; Author=Microsoft Corporation; CompanyName=PowerShellTeam; Copyright=(c) 2013 Microsoft Corporation. All rights reserved.; PublishedDate=3/31/2016 1:18:30 AM; LicenseUri=https://github.com/PowerShell/xWebAdministration/blob/master/LICENSE; ProjectUri=https://github.com/PowerShell/xWebAdministration; IconUri=; Tags=System.Object[]; Includes=System.Collections.Hashtable; PowerShellGetFormatVersion=; ReleaseNotes=; Dependencies=System.Object[]; RepositorySourceLocation=https://www.powershellgallery.com/api/v2/; Repository=PSGallery; PackageManagementProvider=NuGet; AdditionalMetadata=System.Collections.Hashtable}"
"xWebAppPool","1.10.0.0","xWebAdministration","PSGallery","@{Name=xWebAdministration; Version=1.10.0.0; Type=Module; Description=Module with DSC Resources for Web Administration; Author=Microsoft Corporation; CompanyName=PowerShellTeam; Copyright=(c) 2013 Microsoft Corporation. All rights reserved.; PublishedDate=3/31/2016 1:18:30 AM; LicenseUri=https://github.com/PowerShell/xWebAdministration/blob/master/LICENSE; ProjectUri=https://github.com/PowerShell/xWebAdministration; IconUri=; Tags=System.Object[]; Includes=System.Collections.Hashtable; PowerShellGetFormatVersion=; ReleaseNotes=; Dependencies=System.Object[]; RepositorySourceLocation=https://www.powershellgallery.com/api/v2/; Repository=PSGallery; PackageManagementProvider=NuGet; AdditionalMetadata=System.Collections.Hashtable}"
"xWebAppPoolDefaults","1.10.0.0","xWebAdministration","PSGallery","@{Name=xWebAdministration; Version=1.10.0.0; Type=Module; Description=Module with DSC Resources for Web Administration; Author=Microsoft Corporation; CompanyName=PowerShellTeam; Copyright=(c) 2013 Microsoft Corporation. All rights reserved.; PublishedDate=3/31/2016 1:18:30 AM; LicenseUri=https://github.com/PowerShell/xWebAdministration/blob/master/LICENSE; ProjectUri=https://github.com/PowerShell/xWebAdministration; IconUri=; Tags=System.Object[]; Includes=System.Collections.Hashtable; PowerShellGetFormatVersion=; ReleaseNotes=; Dependencies=System.Object[]; RepositorySourceLocation=https://www.powershellgallery.com/api/v2/; Repository=PSGallery; PackageManagementProvider=NuGet; AdditionalMetadata=System.Collections.Hashtable}"
"xWebConfigKeyValue","1.10.0.0","xWebAdministration","PSGallery","@{Name=xWebAdministration; Version=1.10.0.0; Type=Module; Description=Module with DSC Resources for Web Administration; Author=Microsoft Corporation; CompanyName=PowerShellTeam; Copyright=(c) 2013 Microsoft Corporation. All rights reserved.; PublishedDate=3/31/2016 1:18:30 AM; LicenseUri=https://github.com/PowerShell/xWebAdministration/blob/master/LICENSE; ProjectUri=https://github.com/PowerShell/xWebAdministration; IconUri=; Tags=System.Object[]; Includes=System.Collections.Hashtable; PowerShellGetFormatVersion=; ReleaseNotes=; Dependencies=System.Object[]; RepositorySourceLocation=https://www.powershellgallery.com/api/v2/; Repository=PSGallery; PackageManagementProvider=NuGet; AdditionalMetadata=System.Collections.Hashtable}"
"xWebsite","1.10.0.0","xWebAdministration","PSGallery","@{Name=xWebAdministration; Version=1.10.0.0; Type=Module; Description=Module with DSC Resources for Web Administration; Author=Microsoft Corporation; CompanyName=PowerShellTeam; Copyright=(c) 2013 Microsoft Corporation. All rights reserved.; PublishedDate=3/31/2016 1:18:30 AM; LicenseUri=https://github.com/PowerShell/xWebAdministration/blob/master/LICENSE; ProjectUri=https://github.com/PowerShell/xWebAdministration; IconUri=; Tags=System.Object[]; Includes=System.Collections.Hashtable; PowerShellGetFormatVersion=; ReleaseNotes=; Dependencies=System.Object[]; RepositorySourceLocation=https://www.powershellgallery.com/api/v2/; Repository=PSGallery; PackageManagementProvider=NuGet; AdditionalMetadata=System.Collections.Hashtable}"
